Year,Justice Name,Appointing President,Appointing President Party,Year Appointed,Ideology,Age,Years on Court,Status,Departure Reason,President,President Party,Presidential Term,Election Year Type,House Control,Senate Control,Court Conservatives,Court Moderates,Court Liberals
1901,George Shiras Jr.,Benjamin Harrison,Republican,1892,Moderate,69,9,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1901,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,56,7,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1901,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,63,5,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1901,Joseph McKenna,William McKinley,Republican,1898,Moderate,58,3,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1902,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,69,14,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,69,25,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,Horace Gray,Chester A. Arthur,Republican,1882,Moderate,74,20,Left - Involuntary,Died in office,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,David Brewer,Benjamin Harrison,Republican,1890,Conservative,65,12,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,Henry Billings Brown,Benjamin Harrison,Republican,1891,Moderate,66,11,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,George Shiras Jr.,Benjamin Harrison,Republican,1892,Moderate,70,10,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,57,8,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,64,6,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,Joseph McKenna,William McKinley,Republican,1898,Moderate,59,4,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1902,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,61,0,Stayed,,Theodore Roosevelt,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1903,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,70,15,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,70,26,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,David Brewer,Benjamin Harrison,Republican,1890,Conservative,66,13,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,Henry Billings Brown,Benjamin Harrison,Republican,1891,Moderate,67,12,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,George Shiras Jr.,Benjamin Harrison,Republican,1892,Moderate,71,11,Left - Voluntary,Retired,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,58,9,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,65,7,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,Joseph McKenna,William McKinley,Republican,1898,Moderate,60,5,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,62,1,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1903,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,54,0,Stayed,,Theodore Roosevelt,Republican,1,Non-Election Year,Republican,Republican,3,5,2
1904,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,71,16,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,71,27,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,David Brewer,Benjamin Harrison,Republican,1890,Conservative,67,14,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,Henry Billings Brown,Benjamin Harrison,Republican,1891,Moderate,68,13,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,59,10,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,66,8,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,Joseph McKenna,William McKinley,Republican,1898,Moderate,61,6,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,63,2,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1904,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,55,1,Stayed,,Theodore Roosevelt,Republican,1,Presidential Election,Republican,Republican,3,4,2
1905,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,72,17,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,72,28,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,David Brewer,Benjamin Harrison,Republican,1890,Conservative,68,15,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,Henry Billings Brown,Benjamin Harrison,Republican,1891,Moderate,69,14,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,60,11,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,67,9,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,Joseph McKenna,William McKinley,Republican,1898,Moderate,62,7,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,64,3,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1905,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,56,2,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1906,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,73,18,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,73,29,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,David Brewer,Benjamin Harrison,Republican,1890,Conservative,69,16,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,Henry Billings Brown,Benjamin Harrison,Republican,1891,Moderate,70,15,Left - Voluntary,Retired,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,61,12,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,68,10,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,Joseph McKenna,William McKinley,Republican,1898,Moderate,63,8,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,65,4,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,57,3,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1906,William Henry Moody,Theodore Roosevelt,Republican,1906,Moderate,53,0,Stayed,,Theodore Roosevelt,Republican,2,Mid-Term Election,Republican,Republican,3,5,2
1907,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,74,19,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,74,30,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,David Brewer,Benjamin Harrison,Republican,1890,Conservative,70,17,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,62,13,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,69,11,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,Joseph McKenna,William McKinley,Republican,1898,Moderate,64,9,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,66,5,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,58,4,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1907,William Henry Moody,Theodore Roosevelt,Republican,1906,Moderate,54,1,Stayed,,Theodore Roosevelt,Republican,2,Non-Election Year,Republican,Republican,3,4,2
1908,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,75,20,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,75,31,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,David Brewer,Benjamin Harrison,Republican,1890,Conservative,71,18,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,63,14,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,70,12,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,Joseph McKenna,William McKinley,Republican,1898,Moderate,65,10,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,67,6,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,59,5,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1908,William Henry Moody,Theodore Roosevelt,Republican,1906,Moderate,55,2,Stayed,,Theodore Roosevelt,Republican,2,Presidential Election,Republican,Republican,3,4,2
1909,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,76,21,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,76,32,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,David Brewer,Benjamin Harrison,Republican,1890,Conservative,72,19,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,64,15,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,71,13,Left - Involuntary,Died in office,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,Joseph McKenna,William McKinley,Republican,1898,Moderate,66,11,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,68,7,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,60,6,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1909,William Henry Moody,Theodore Roosevelt,Republican,1906,Moderate,56,3,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Republican,Republican,3,4,2
1910,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,77,22,Left - Involuntary,Died in office,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,77,33,Stayed,,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,David Brewer,Benjamin Harrison,Republican,1890,Conservative,73,20,Left - Involuntary,Died in office,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,65,16,Stayed,,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,Joseph McKenna,William McKinley,Republican,1898,Moderate,67,12,Stayed,,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,69,8,Stayed,,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,61,7,Stayed,,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,William Henry Moody,Theodore Roosevelt,Republican,1906,Moderate,57,4,Left - Voluntary,Retired,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,Horace Lurton,William Howard Taft,Republican,1910,Conservative,66,0,Stayed,,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1910,Charles Evans Hughes,William Howard Taft,Republican,1910,Moderate,48,0,Stayed,,William Howard Taft,Republican,1,Mid-Term Election,Republican,Republican,3,5,2
1911,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,78,34,Left - Involuntary,Died in office,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,66,17,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,Joseph McKenna,William McKinley,Republican,1898,Moderate,68,13,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,70,9,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,62,8,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,Horace Lurton,William Howard Taft,Republican,1910,Conservative,67,1,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,Charles Evans Hughes,William Howard Taft,Republican,1910,Moderate,49,1,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,Willis Van Devanter,William Howard Taft,Republican,1911,Conservative,52,0,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1911,Joseph Rucker Lamar,William Howard Taft,Republican,1911,Moderate,54,0,Stayed,,William Howard Taft,Republican,1,Non-Election Year,Democratic,Republican,2,5,2
1912,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,67,18,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,Joseph McKenna,William McKinley,Republican,1898,Moderate,69,14,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,71,10,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,63,9,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,Horace Lurton,William Howard Taft,Republican,1910,Conservative,68,2,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,Charles Evans Hughes,William Howard Taft,Republican,1910,Moderate,50,2,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,Willis Van Devanter,William Howard Taft,Republican,1911,Conservative,53,1,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,Joseph Rucker Lamar,William Howard Taft,Republican,1911,Moderate,55,1,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1912,Mahlon Pitney,William Howard Taft,Republican,1912,Conservative,54,0,Stayed,,William Howard Taft,Republican,1,Presidential Election,Democratic,Republican,3,5,1
1913,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,68,19,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,Joseph McKenna,William McKinley,Republican,1898,Moderate,70,15,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,72,11,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,64,10,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,Horace Lurton,William Howard Taft,Republican,1910,Conservative,69,3,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,Charles Evans Hughes,William Howard Taft,Republican,1910,Moderate,51,3,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,Willis Van Devanter,William Howard Taft,Republican,1911,Conservative,54,2,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,Joseph Rucker Lamar,William Howard Taft,Republican,1911,Moderate,56,2,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1913,Mahlon Pitney,William Howard Taft,Republican,1912,Conservative,55,1,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1914,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,69,20,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,Joseph McKenna,William McKinley,Republican,1898,Moderate,71,16,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,73,12,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,65,11,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,Horace Lurton,William Howard Taft,Republican,1910,Conservative,70,4,Left - Involuntary,Died in office,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,Charles Evans Hughes,William Howard Taft,Republican,1910,Moderate,52,4,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,Willis Van Devanter,William Howard Taft,Republican,1911,Conservative,55,3,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,Joseph Rucker Lamar,William Howard Taft,Republican,1911,Moderate,57,3,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,Mahlon Pitney,William Howard Taft,Republican,1912,Conservative,56,2,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1914,James Clark McReynolds,Woodrow Wilson,Democratic,1914,Conservative,52,0,Stayed,,Woodrow Wilson,Democratic,1,Mid-Term Election,Democratic,Democratic,4,5,1
1915,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,70,21,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,Joseph McKenna,William McKinley,Republican,1898,Moderate,72,17,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,74,13,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,66,12,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,Charles Evans Hughes,William Howard Taft,Republican,1910,Moderate,53,5,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,Willis Van Devanter,William Howard Taft,Republican,1911,Conservative,56,4,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,Joseph Rucker Lamar,William Howard Taft,Republican,1911,Moderate,58,4,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,Mahlon Pitney,William Howard Taft,Republican,1912,Conservative,57,3,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1915,James Clark McReynolds,Woodrow Wilson,Democratic,1914,Conservative,53,1,Stayed,,Woodrow Wilson,Democratic,1,Non-Election Year,Democratic,Democratic,3,5,1
1916,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,71,22,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,Joseph McKenna,William McKinley,Republican,1898,Moderate,73,18,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,75,14,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,67,13,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,Charles Evans Hughes,William Howard Taft,Republican,1910,Moderate,54,6,Left - Voluntary,Resigned,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,Willis Van Devanter,William Howard Taft,Republican,1911,Conservative,57,5,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,Joseph Rucker Lamar,William Howard Taft,Republican,1911,Moderate,59,5,Left - Involuntary,Died in office,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,Mahlon Pitney,William Howard Taft,Republican,1912,Conservative,58,4,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,James Clark McReynolds,Woodrow Wilson,Democratic,1914,Conservative,54,2,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,Louis Brandeis,Woodrow Wilson,Democratic,1916,Liberal,60,0,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1916,John Hessin Clarke,Woodrow Wilson,Democratic,1916,Liberal,59,0,Stayed,,Woodrow Wilson,Democratic,1,Presidential Election,Democratic,Democratic,3,5,3
1917,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,72,23,Stayed,,Woodrow Wilson,Democratic,2,Non-Election Year,Democratic,Democratic,3,3,3
1917,Joseph McKenna,William McKinley,Republican,1898,Moderate,74,19,Stayed,,Woodrow Wilson,Democratic,2,Non-Election Year,Democratic,Democratic,3,3,3
1917,Oliver Wendell Holmes Jr.,Theodore Roosevelt,Republican,1902,Liberal,76,15,Stayed,,Woodrow Wilson,Democratic,2,Non-Election Year,Democratic,Democratic,3,3,3
1917,William R. Day,Theodore Roosevelt,Republican,1903,Moderate,68,14,Stayed,,Woodrow Wilson,Democratic,2,Non-Election Year,Democratic,Democratic,3,3,3
1917,Willis Van Devanter,William Howard Taft,Republican,1911,Conservative,58,6,Stayed,,Woodrow Wilson,Democratic,2,Non-Election Year,Democratic,Democratic,3,3,3
